repository;state;createdAt;mergedAt;closedAt;reviews;participants;bodyText;changedFiles;comments;additions;deletions;hours
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-14T13:02:49Z;2023-04-14T15:37:22Z;NaN;2;3;45;152;0;830;830;2.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-14T12:24:08Z;2023-04-14T15:37:41Z;NaN;2;3;45;4;0;152;160;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-13T13:18:29Z;2023-04-13T14:36:35Z;NaN;2;3;45;561;0;180127;73;1.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-12T13:03:49Z;2023-04-12T15:02:28Z;NaN;2;3;45;22;0;217;163;1.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-12T05:31:32Z;2023-04-12T17:14:24Z;NaN;2;3;622;1;1;0;6;11.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-11T13:08:31Z;2023-04-11T19:43:39Z;NaN;2;3;45;22;0;202;202;6.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-11T12:09:30Z;2023-04-11T19:44:01Z;NaN;2;3;45;22;0;139;139;7.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-10T20:43:07Z;2023-04-11T16:38:24Z;NaN;5;5;428;1;1;6;0;19.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-10T16:03:12Z;2023-04-13T15:25:13Z;NaN;4;4;533;8;1;60;81;71.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-10T13:02:15Z;2023-04-10T15:41:01Z;NaN;2;3;45;201;0;584;584;2.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-10T12:08:44Z;2023-04-10T15:40:37Z;NaN;2;3;45;184;0;1964;2011;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-10T10:29:50Z;2023-04-10T14:24:42Z;NaN;3;3;318;2;0;6;6;3.0
{'owner': {'login': 'freeCodeCamp'}, 'name': 'freeCodeCamp'};MERGED;2023-04-10T06:19:01Z;2023-04-10T07:28:41Z;NaN;2;3;287;1;0;1;1;1.0
