nameWithOwner;closedPRs;mergedPRs;totalPRs
freeCodeCamp/freeCodeCamp;13006;19597;32603
EbookFoundation/free-programming-books;2657;5610;8267
996icu/996.ICU;867;1063;1930
jwasham/coding-interview-university;508;363;871
sindresorhus/awesome;1239;609;1848
kamranahmedse/developer-roadmap;715;1512;2227
public-apis/public-apis;939;1871;2810
donnemartin/system-design-primer;86;196;282
facebook/react;4158;9006;13164
vuejs/vue;1017;1118;2135
codecrafters-io/build-your-own-x;85;113;198
tensorflow/tensorflow;6746;15876;22622
trekhleb/javascript-algorithms;188;282;470
getify/You-Dont-Know-JS;468;356;824
vinta/awesome-python;924;533;1457
CyC2018/CS-Notes;165;375;540
twbs/bootstrap;6117;8304;14421
ohmyzsh/ohmyzsh;3531;2869;6400
TheAlgorithms/Python;4610;2195;6805
flutter/flutter;12368;30629;42997
torvalds/linux;442;9;451
github/gitignore;2279;1523;3802
microsoft/vscode;3616;16504;20120
ossu/computer-science;156;239;395
jlevy/the-art-of-command-line;139;313;452
jackfrued/Python-100-Days;122;12;134
airbnb/javascript;565;792;1357
Snailclimb/JavaGuide;259;785;1044
awesome-selfhosted/awesome-selfhosted;552;2149;2701
ytdl-org/youtube-dl;2325;1603;3928
labuladong/fucking-algorithm;206;225;431
30-seconds/30-seconds-of-code;729;754;1483
golang/go;2590;1;2591
facebook/react-native;11316;675;11991
electron/electron;2117;16877;18994
d3/d3;675;439;1114
vercel/next.js;2905;12164;15069
justjavac/free-programming-books-zh_CN;146;280;426
avelino/awesome-go;1133;2934;4067
axios/axios;565;732;1297
facebook/create-react-app;1783;1942;3725
practical-tutorials/project-based-learning;125;182;307
kubernetes/kubernetes;18645;54798;73443
trimstray/the-book-of-secret-knowledge;74;122;196
nodejs/node;23661;6030;29691
huggingface/transformers;2071;9123;11194
mrdoob/three.js;3161;10712;13873
microsoft/TypeScript;2897;12914;15811
microsoft/PowerToys;459;3881;4340
yangshun/tech-interview-handbook;67;432;499
denoland/deno;1870;8180;10050
goldbergyoni/nodebestpractices;141;750;891
microsoft/terminal;365;3134;3499
angular/angular;20159;3351;23510
mui/material-ui;3310;15275;18585
ant-design/ant-design;2879;10853;13732
puppeteer/puppeteer;807;3153;3960
PanJiaChen/vue-element-admin;159;313;472
ryanmcdermott/clean-code-javascript;97;149;246
Genymobile/scrcpy;258;66;324
iluwatar/java-design-patterns;547;1078;1625
rust-lang/rust;14492;46969;61461
storybookjs/storybook;2012;8135;10147
Significant-Gravitas/Auto-GPT;276;308;584
animate-css/animate.css;454;313;767
nvbn/thefuck;115;478;593
tensorflow/models;1266;2296;3562
gothinkster/realworld;196;358;554
laravel/laravel;3003;1495;4498
papers-we-love/papers-we-love;80;417;497
FortAwesome/Font-Awesome;437;197;634
mtdvio/every-programmer-should-know;43;98;141
django/django;8489;8087;16576
tonsky/FiraCode;49;127;176
doocs/advanced-java;39;75;114
bitcoin/bitcoin;5821;12813;18634
ripienaar/free-for-dev;587;2165;2752
microsoft/Web-Dev-For-Beginners;259;445;704
vuejs/awesome-vue;350;3386;3736
opencv/opencv;2552;11097;13649
gin-gonic/gin;446;923;1369
tailwindlabs/tailwindcss;440;1725;2165
sveltejs/svelte;668;2621;3289
spring-projects/spring-boot;5563;42;5605
gohugoio/hugo;2325;1931;4256
f/awesome-chatgpt-prompts;95;103;198
fatedier/frp;209;445;654
typicode/json-server;161;109;270
nvm-sh/nvm;278;680;958
moby/moby;4652;18215;22867
pytorch/pytorch;59966;5379;65345
AUTOMATIC1111/stable-diffusion-webui;643;933;1576
neovim/neovim;3608;9578;13186
thedaviddias/Front-End-Checklist;120;172;292
florinpop17/app-ideas;125;149;274
iptv-org/iptv;557;5258;5815
hakimel/reveal.js;547;373;920
elastic/elasticsearch;8089;54498;62587
webpack/webpack;1727;4267;5994
netdata/netdata;781;6506;7287
