nameWithOwner;closedPRs;mergedPRs;totalPRs
freeCodeCamp/freeCodeCamp;12987;19560;32547
EbookFoundation/free-programming-books;2656;5610;8266
996icu/996.ICU;866;1063;1929
jwasham/coding-interview-university;508;363;871
sindresorhus/awesome;1239;609;1848
kamranahmedse/developer-roadmap;714;1510;2224
public-apis/public-apis;939;1871;2810
donnemartin/system-design-primer;85;196;281
facebook/react;4153;8980;13133
vuejs/vue;1016;1118;2134
codecrafters-io/build-your-own-x;84;113;197
tensorflow/tensorflow;6742;15858;22600
trekhleb/javascript-algorithms;187;281;468
getify/You-Dont-Know-JS;468;356;824
CyC2018/CS-Notes;165;375;540
twbs/bootstrap;6111;8288;14399
vinta/awesome-python;922;533;1455
ohmyzsh/ohmyzsh;3529;2867;6396
TheAlgorithms/Python;4588;2193;6781
flutter/flutter;12298;30502;42800
torvalds/linux;442;9;451
github/gitignore;2277;1523;3800
microsoft/vscode;3607;16379;19986
ossu/computer-science;156;239;395
jlevy/the-art-of-command-line;139;313;452
jackfrued/Python-100-Days;120;12;132
airbnb/javascript;565;792;1357
Snailclimb/JavaGuide;256;784;1040
awesome-selfhosted/awesome-selfhosted;550;2133;2683
ytdl-org/youtube-dl;2325;1602;3927
labuladong/fucking-algorithm;206;223;429
30-seconds/30-seconds-of-code;729;754;1483
golang/go;2577;1;2578
facebook/react-native;11281;675;11956
electron/electron;2111;16798;18909
d3/d3;675;439;1114
vercel/next.js;2895;12107;15002
justjavac/free-programming-books-zh_CN;146;280;426
axios/axios;564;731;1295
avelino/awesome-go;1133;2932;4065
facebook/create-react-app;1781;1942;3723
kubernetes/kubernetes;18597;54677;73274
practical-tutorials/project-based-learning;125;182;307
trimstray/the-book-of-secret-knowledge;73;122;195
nodejs/node;23638;5984;29622
huggingface/transformers;2062;9070;11132
mrdoob/three.js;3158;10672;13830
microsoft/TypeScript;2892;12883;15775
microsoft/PowerToys;457;3869;4326
yangshun/tech-interview-handbook;66;429;495
denoland/deno;1865;8137;10002
goldbergyoni/nodebestpractices;141;750;891
microsoft/terminal;365;3122;3487
angular/angular;20099;3345;23444
mui/material-ui;3300;15235;18535
ant-design/ant-design;2874;10815;13689
puppeteer/puppeteer;805;3136;3941
PanJiaChen/vue-element-admin;159;313;472
ryanmcdermott/clean-code-javascript;97;149;246
Genymobile/scrcpy;257;66;323
iluwatar/java-design-patterns;546;1078;1624
rust-lang/rust;14441;46798;61239
storybookjs/storybook;2005;8102;10107
animate-css/animate.css;454;313;767
nvbn/thefuck;115;478;593
tensorflow/models;1265;2296;3561
gothinkster/realworld;191;351;542
laravel/laravel;2994;1493;4487
FortAwesome/Font-Awesome;437;197;634
papers-we-love/papers-we-love;80;417;497
mtdvio/every-programmer-should-know;43;98;141
django/django;8477;8076;16553
tonsky/FiraCode;49;127;176
doocs/advanced-java;39;75;114
bitcoin/bitcoin;5814;12799;18613
ripienaar/free-for-dev;582;2151;2733
microsoft/Web-Dev-For-Beginners;259;445;704
vuejs/awesome-vue;350;3386;3736
opencv/opencv;2545;11084;13629
gin-gonic/gin;445;923;1368
tailwindlabs/tailwindcss;436;1723;2159
sveltejs/svelte;662;2600;3262
spring-projects/spring-boot;5555;41;5596
gohugoio/hugo;2321;1930;4251
typicode/json-server;159;109;268
fatedier/frp;209;442;651
nvm-sh/nvm;278;677;955
moby/moby;4650;18190;22840
pytorch/pytorch;59578;5375;64953
thedaviddias/Front-End-Checklist;120;172;292
neovim/neovim;3600;9486;13086
florinpop17/app-ideas;125;149;274
iptv-org/iptv;554;5224;5778
hakimel/reveal.js;547;373;920
elastic/elasticsearch;8075;54400;62475
f/awesome-chatgpt-prompts;92;103;195
webpack/webpack;1684;4243;5927
netdata/netdata;779;6485;7264
pallets/flask;902;1455;2357
apple/swift;5332;41890;47222
tauri-apps/tauri;288;2954;3242
AUTOMATIC1111/stable-diffusion-webui;633;933;1566
expressjs/express;830;268;1098
chartjs/Chart.js;806;2862;3668
godotengine/godot;5233;26720;31953
coder/code-server;333;1282;1615
resume/resume.github.com;86;84;170
home-assistant/core;7375;45122;52497
jaywcjlove/awesome-mac;70;723;793
reduxjs/redux;807;1592;2399
redis/redis;2097;3250;5347
atom/atom;1312;3937;5249
angular/angular.js;7134;789;7923
protocolbuffers/protobuf;2391;4198;6589
josephmisiti/awesome-machine-learning;46;780;826
socketio/socket.io;409;415;824
keras-team/keras;3314;2801;6115
jquery/jquery;2211;615;2826
ansible/ansible;12046;36520;48566
h5bp/Front-end-Developer-Interview-Questions;194;439;633
tiangolo/fastapi;565;1165;1730
kelseyhightower/nocode;136;1;137
mermaid-js/mermaid;269;1549;1818
shadowsocks/shadowsocks-windows;196;278;474
lodash/lodash;587;573;1160
nestjs/nest;1455;4956;6411
leonardomso/33-js-concepts;53;160;213
vitejs/vite;991;3233;4224
grafana/grafana;4524;29774;34298
apache/echarts;345;1173;1518
chrislgarry/Apollo-11;102;320;422
enaqx/awesome-react;335;766;1101
DopplerHQ/awesome-interview-questions;32;175;207
Developer-Y/cs-video-courses;34;126;160
gatsbyjs/gatsby;3674;17698;21372
h5bp/html5-boilerplate;897;672;1569
anuraghazra/github-readme-stats;716;497;1213
lydiahallie/javascript-questions;166;304;470
scikit-learn/scikit-learn;4199;10508;14707
awesomedata/awesome-public-datasets;88;188;276
ElemeFE/element;1540;3221;4761
twitter/the-algorithm;283;2;285
strapi/strapi;1577;6003;7580
Anduin2017/HowToCook;150;460;610
rails/rails;9783;21172;30955
python/cpython;5958;32514;38472
junegunn/fzf;288;373;661
spring-projects/spring-framework;3258;757;4015
apache/superset;2371;10471;12842
sdmg15/Best-websites-a-programmer-should-visit;381;373;754
TheAlgorithms/Java;2062;986;3048
azl397985856/leetcode;51;252;303
hoppscotch/hoppscotch;755;1054;1809
sindresorhus/awesome-nodejs;669;395;1064
bradtraversy/design-resources-for-developers;347;834;1181
3b1b/manim;210;562;772
Semantic-Org/Semantic-UI;409;356;765
syncthing/syncthing;1398;2300;3698
scutan90/DeepLearning-500-questions;32;302;334
tesseract-ocr/tesseract;198;1309;1507
MunGell/awesome-for-beginners;726;334;1060
necolas/normalize.css;300;56;356
remix-run/react-router;996;1811;2807
microsoft/playwright;1291;10122;11413
psf/requests;828;1469;2297
ionic-team/ionic-framework;1703;4453;6156
supabase/supabase;734;4488;5222
google/material-design-icons;109;41;150
ageitgey/face_recognition;93;94;187
ventoy/Ventoy;119;241;360
prometheus/prometheus;1421;5186;6607
microsoft/ML-For-Beginners;67;338;405
moment/moment;1259;712;1971
google/guava;1113;369;1482
soimort/you-get;354;570;924
jgthms/bulma;351;602;953
ReactiveX/RxJava;641;3126;3767
swisskyrepo/PayloadsAllTheThings;86;456;542
obsproject/obs-studio;1506;3670;5176
scrapy/scrapy;844;1939;2783
caddyserver/caddy;349;1571;1920
